transaction_id,customer_id,customer_age,customer_gender,country,product_category,product_name,quantity,unit_price,total_price,payment_method,transaction_date
T00074,C1665,22,Female,USA,Electronics,Smartphone,2,1344.67,2689.34,Cash,2024-05-28
T00075,C1781,19,Female,India,Electronics,Smartwatch,3,290.9,872.7,UPI,2023-09-15
T00076,C1293,29,Other,Australia,Books,NLP with Transformers,2,1013.99,2027.98,Credit Card,2022-09-24
T00077,C1542,53,Male,Germany,Books,Deep Learning,2,1451.09,2902.18,Credit Card,2023-12-08
T00078,C1308,24,Female,USA,Electronics,Laptop,2,496.29,992.58,UPI,2022-06-14
T00079,C1922,33,Female,Canada,Home,Office Chair,3,297.34,892.02,Debit Card,2023-10-22
T00080,C1263,56,Other,India,Electronics,Smartwatch,4,856.08,3424.32,Cash,2022-12-31
T00081,C1826,52,Female,Australia,Clothing,Jeans,2,185.27,370.54,Credit Card,2023-05-24
T00082,C1886,24,Female,UK,Books,Data Science 101,1,1418.64,1418.64,UPI,2023-03-30
T00083,C1028,21,Other,India,Books,NLP with Transformers,3,1076.04,3228.12,UPI,2022-06-06
T00084,C1280,63,Male,Germany,Books,NLP with Transformers,1,1460.83,1460.83,Cash,2022-12-14
T00085,C1113,40,Male,UK,Clothing,Jacket,4,488.41,1953.64,Credit Card,2023-02-09
T00086,C1166,64,Male,India,Home,Mixer,1,1248.76,1248.76,Cash,2023-07-30
T00087,C1349,59,Other,India,Electronics,Smartwatch,5,417.8,2089.0,Net Banking,2022-06-14
T00088,C1593,37,Other,India,Home,Desk Lamp,1,251.25,251.25,Net Banking,2022-05-06
T00089,C1034,32,Female,Australia,Home,Desk Lamp,4,1062.74,4250.96,Debit Card,2022-04-04
T00090,C1535,44,Female,UK,Home,Mixer,5,744.33,3721.65,Debit Card,2023-05-20
T00091,C1172,22,Male,India,Books,NLP with Transformers,4,128.17,512.68,UPI,2023-09-10
T00092,C1679,19,Other,Germany,Home,Office Chair,2,1385.14,2770.28,UPI,2022-09-15
T00093,C1182,48,Male,USA,Books,Data Science 101,2,798.33,1596.66,Debit Card,2024-01-21
T00094,C1601,52,Female,UK,Home,Mixer,2,597.77,1195.54,UPI,2023-09-20
T00095,C1755,57,Male,Australia,Electronics,Headphones,4,1417.16,5668.64,UPI,2024-03-24
T00096,C1378,28,Male,Australia,Clothing,Jacket,4,1134.74,4538.96,Credit Card,2023-09-01
T00097,C1704,32,Female,Canada,Books,NLP with Transformers,3,29.98,89.94,Credit Card,2023-12-06
T00098,C1363,20,Male,USA,Books,Deep Learning,3,1109.28,3327.84,Credit Card,2022-09-02
T00099,C1773,18,Male,UK,Electronics,Smartwatch,1,926.01,926.01,Cash,2023-03-29
T00100,C1222,36,Female,Australia,Home,Vacuum Cleaner,4,1052.43,4209.72,UPI,2023-04-11
T00101,C1778,50,Female,USA,Clothing,Jacket,4,752.9,3011.6,Cash,2022-03-12
T00102,C1652,61,Female,Canada,Books,AI Basics,2,498.66,997.32,Debit Card,2023-01-20
T00103,C1816,18,Male,Australia,Electronics,Laptop,1,721.94,721.94,UPI,2024-04-17
T00104,C1083,47,Male,Australia,Books,AI Basics,5,530.55,2652.75,Cash,2023-07-10
T00105,C1020,24,Other,Germany,Home,Vacuum Cleaner,4,106.23,424.92,Credit Card,2024-04-14
T00106,C1770,43,Other,Australia,Clothing,Sneakers,1,1497.4,1497.4,Net Banking,2023-11-25
T00107,C1096,35,Female,Australia,Home,Desk Lamp,2,893.58,1787.16,Net Banking,2022-10-26
T00108,C1487,48,Female,Germany,Books,Deep Learning,3,836.92,2510.76,Debit Card,2023-01-18
T00109,C1999,65,Female,Germany,Electronics,Headphones,2,1312.5,2625.0,Credit Card,2024-05-01
T00110,C1446,64,Other,UK,Clothing,Sneakers,2,711.43,1422.86,Credit Card,2022-09-24
T00111,C1730,55,Male,India,Clothing,Jeans,5,392.82,1964.1,Debit Card,2023-10-30
T00112,C1205,45,Other,Germany,Home,Mixer,1,115.9,115.9,Cash,2022-12-18
T00113,C1931,60,Male,Germany,Home,Mixer,4,1407.91,5631.64,Debit Card,2022-03-01
T00114,C1547,50,Female,USA,Electronics,Smartwatch,3,1365.66,4096.98,Net Banking,2023-12-29
T00115,C1630,60,Female,Canada,Clothing,T-Shirt,5,1405.16,7025.8,Net Banking,2022-10-10
T00116,C1843,53,Female,UK,Electronics,Laptop,5,1232.94,6164.7,Debit Card,2023-01-08
T00117,C1523,54,Other,Germany,Books,NLP with Transformers,1,951.9,951.9,Net Banking,2023-02-13
T00118,C1808,51,Other,India,Electronics,Headphones,5,105.16,525.8,Cash,2023-03-07
T00119,C1305,64,Female,Germany,Clothing,Jeans,1,286.3,286.3,Net Banking,2022-02-25
T00120,C1621,57,Other,USA,Books,Deep Learning,3,677.61,2032.83,Credit Card,2022-08-21
T00121,C1479,61,Other,Germany,Home,Vacuum Cleaner,5,269.08,1345.4,UPI,2022-04-17
T00122,C1625,31,Female,Australia,Home,Office Chair,1,514.17,514.17,Net Banking,2022-10-04
T00123,C1507,18,Other,Germany,Clothing,Jeans,5,1054.75,5273.75,Cash,2022-05-13
T00124,C1931,60,Other,Australia,Electronics,Smartwatch,1,633.55,633.55,Credit Card,2024-04-24
T00125,C1751,56,Other,Germany,Books,Deep Learning,5,1210.97,6054.85,UPI,2022-08-03
T00126,C1248,42,Male,Germany,Electronics,Smartphone,2,984.26,1968.52,Net Banking,2023-10-12
T00127,C1559,62,Male,USA,Electronics,Laptop,1,637.96,637.96,UPI,2023-08-23
T00128,C1712,41,Other,Canada,Electronics,Headphones,4,892.84,3571.36,Net Banking,2022-12-02
T00129,C1551,48,Male,UK,Electronics,Laptop,4,33.96,135.84,Credit Card,2023-11-24
T00130,C1137,57,Male,Australia,Books,Data Science 101,4,584.81,2339.24,Net Banking,2022-07-17
T00131,C1127,59,Other,UK,Electronics,Headphones,1,130.95,130.95,Net Banking,2022-04-29
T00132,C1549,59,Female,India,Books,NLP with Transformers,2,254.77,509.54,Debit Card,2024-06-05
T00133,C1640,19,Male,Germany,Books,AI Basics,5,261.32,1306.6,Cash,2023-11-16
T00134,C1273,50,Female,Australia,Electronics,Headphones,5,1353.09,6765.45,Net Banking,2022-12-21
T00135,C1203,40,Female,India,Electronics,Smartphone,3,1093.4,3280.2,Debit Card,2024-03-12
T00136,C1585,20,Male,India,Clothing,Jeans,5,402.64,2013.2,Credit Card,2023-04-16
T00137,C1540,57,Other,UK,Home,Vacuum Cleaner,1,1266.23,1266.23,Credit Card,2022-11-17
T00138,C1572,38,Male,Australia,Books,AI Basics,2,193.18,386.36,Net Banking,2024-04-07
T00139,C1586,52,Other,UK,Home,Office Chair,4,1310.14,5240.56,Net Banking,2023-04-27
T00140,C1325,61,Female,India,Clothing,T-Shirt,5,1330.98,6654.9,Net Banking,2022-10-20
T00141,C1151,64,Male,USA,Electronics,Headphones,2,872.29,1744.58,Debit Card,2023-01-12
T00142,C1036,63,Female,Canada,Clothing,Jeans,2,283.74,567.48,UPI,2024-04-25
T00143,C1086,23,Male,UK,Electronics,Smartphone,5,583.25,2916.25,Debit Card,2022-01-22
T00144,C1419,27,Other,USA,Electronics,Smartwatch,3,105.67,317.01,Cash,2022-06-25
T00145,C1739,63,Other,Canada,Home,Office Chair,2,1421.59,2843.18,UPI,2023-08-14
T00146,C1383,47,Female,Australia,Books,AI Basics,4,513.86,2055.44,Debit Card,2023-08-21
T00147,C1666,44,Female,USA,Books,AI Basics,5,185.65,928.25,Cash,2023-04-11
T00148,C1067,22,Male,Australia,Clothing,T-Shirt,5,369.51,1847.55,Debit Card,2023-02-25
T00149,C1039,41,Female,USA,Clothing,Jacket,3,1338.61,4015.83,Credit Card,2023-11-28
T00150,C1036,50,Female,India,Clothing,T-Shirt,1,852.23,852.23,UPI,2022-02-27
T00151,C1347,61,Male,Germany,Books,Data Science 101,2,120.35,240.7,Net Banking,2022-04-24
T00152,C1147,49,Other,Germany,Books,Deep Learning,3,1170.62,3511.86,Net Banking,2022-02-13
T00153,C1293,41,Other,Canada,Books,Deep Learning,3,349.39,1048.17,Cash,2023-09-05
T00154,C1949,42,Male,Australia,Clothing,T-Shirt,1,1365.33,1365.33,Credit Card,2024-05-21
T00155,C1771,19,Other,India,Clothing,Sneakers,5,1024.53,5122.65,Cash,2022-02-15
T00156,C1200,65,Other,USA,Home,Desk Lamp,5,1455.0,7275.0,Debit Card,2023-09-24
T00157,C1543,37,Female,USA,Home,Office Chair,5,778.0,3890.0,Cash,2022-06-28
T00158,C1020,65,Female,Australia,Books,NLP with Transformers,3,1228.24,3684.72,Cash,2022-06-24
T00159,C1186,49,Male,USA,Clothing,Sneakers,2,14.51,29.02,Net Banking,2022-07-05
T00160,C1474,20,Female,Australia,Books,Data Science 101,3,1160.76,3482.28,Cash,2022-09-26
T00161,C1340,34,Other,UK,Electronics,Smartphone,5,108.45,542.25,Net Banking,2024-02-11
T00162,C1557,35,Male,UK,Books,Data Science 101,5,1077.06,5385.3,Net Banking,2024-03-30
T00163,C1091,30,Male,India,Home,Vacuum Cleaner,1,1395.33,1395.33,UPI,2023-09-04
T00164,C1084,45,Other,USA,Books,AI Basics,1,1152.5,1152.5,UPI,2022-10-14
T00165,C1438,63,Female,India,Home,Office Chair,5,529.84,2649.2,Debit Card,2022-02-19
T00166,C1497,56,Female,USA,Electronics,Laptop,3,1119.08,3357.24,Credit Card,2023-06-20
T00167,C1058,31,Male,Australia,Books,Deep Learning,4,1482.97,5931.88,Credit Card,2023-01-07
T00168,C1809,49,Male,USA,Clothing,Sneakers,2,1437.4,2874.8,Credit Card,2023-03-31
T00169,C1479,40,Male,USA,Electronics,Headphones,4,883.01,3532.04,Net Banking,2022-10-04
T00170,C1072,45,Male,USA,Clothing,Jeans,5,708.47,3542.35,Net Banking,2022-11-17
T00171,C1859,60,Other,Australia,Electronics,Smartwatch,2,934.67,1869.34,Credit Card,2023-06-06
T00172,C1896,45,Female,USA,Clothing,T-Shirt,3,62.28,186.84,UPI,2022-06-24
T00173,C1599,21,Male,USA,Home,Desk Lamp,3,725.04,2175.12,Net Banking,2023-01-09
T00174,C1821,19,Female,UK,Books,Data Science 101,3,961.74,2885.22,Credit Card,2022-09-25
T00175,C1617,48,Other,Canada,Clothing,T-Shirt,3,853.9,2561.7,Cash,2023-05-01
T00176,C1608,34,Other,UK,Home,Office Chair,3,1397.76,4193.28,Debit Card,2023-04-08
T00177,C1747,51,Other,USA,Clothing,Jacket,5,1363.57,6817.85,Credit Card,2023-10-31
T00178,C1505,59,Female,USA,Electronics,Smartphone,2,1002.81,2005.62,Net Banking,2024-06-11
T00179,C1891,22,Female,UK,Home,Desk Lamp,2,753.7,1507.4,UPI,2023-05-16
T00180,C1217,49,Male,Australia,Electronics,Smartwatch,4,809.33,3237.32,Net Banking,2022-03-28
T00181,C1378,20,Male,USA,Electronics,Smartwatch,3,608.3,1824.9,Net Banking,2023-05-04
T00182,C1771,57,Male,USA,Books,AI Basics,3,380.94,1142.82,Cash,2023-05-09
T00183,C1561,53,Male,Australia,Home,Vacuum Cleaner,1,517.9,517.9,UPI,2022-03-01
T00184,C1347,32,Male,UK,Books,AI Basics,4,1066.77,4267.08,Cash,2023-11-21
T00185,C1534,62,Male,Australia,Electronics,Smartphone,1,350.04,350.04,Credit Card,2024-04-15
T00186,C1567,57,Female,Canada,Clothing,T-Shirt,1,1201.32,1201.32,Debit Card,2023-10-19
T00187,C1538,65,Other,Australia,Electronics,Laptop,4,58.15,232.6,Cash,2022-09-08
T00188,C1664,57,Other,Australia,Clothing,Jeans,4,613.66,2454.64,Net Banking,2022-03-09
T00189,C1801,21,Other,Australia,Home,Office Chair,4,1173.11,4692.44,Credit Card,2023-03-13
T00190,C1436,62,Male,Australia,Books,Deep Learning,2,329.12,658.24,Cash,2023-07-22
T00191,C1471,45,Male,USA,Electronics,Headphones,2,1395.66,2791.32,Credit Card,2023-10-14
T00192,C1574,49,Other,India,Clothing,Sneakers,1,617.89,617.89,Cash,2024-05-02
T00193,C1724,35,Other,Canada,Books,Data Science 101,5,1107.82,5539.1,Credit Card,2022-12-06
T00194,C1552,59,Male,Germany,Clothing,Jeans,4,1300.45,5201.8,Credit Card,2024-03-06
T00195,C1307,65,Female,India,Home,Office Chair,5,572.79,2863.95,Cash,2023-08-26
T00196,C1351,43,Female,Canada,Home,Mixer,1,854.66,854.66,Cash,2022-03-03
T00197,C1855,52,Female,Canada,Clothing,Jacket,4,844.5,3378.0,Net Banking,2024-05-30
T00198,C1039,50,Other,India,Books,Data Science 101,1,1499.61,1499.61,Cash,2023-12-02
T00199,C1790,40,Female,Germany,Books,Deep Learning,4,1060.46,4241.84,Net Banking,2022-04-11
T00200,C1052,62,Female,Canada,Home,Mixer,2,232.93,465.86,Credit Card,2022-10-04
T00201,C1084,55,Other,USA,Books,Data Science 101,1,1217.18,1217.18,UPI,2022-08-20
T00202,C1185,63,Male,Australia,Clothing,Jacket,2,767.78,1535.56,Net Banking,2022-07-11
T00203,C1028,64,Male,India,Electronics,Smartphone,4,843.9,3375.6,UPI,2022-06-09
T00204,C1068,65,Other,UK,Home,Mixer,4,1231.47,4925.88,Cash,2023-10-25
T00205,C1205,18,Male,UK,Electronics,Laptop,5,287.28,1436.4,Credit Card,2024-05-06
T00206,C1244,58,Female,UK,Books,Data Science 101,5,483.33,2416.65,Cash,2022-11-11
T00207,C1773,51,Female,Australia,Books,AI Basics,4,820.24,3280.96,Net Banking,2022-04-27
T00208,C1034,54,Other,USA,Home,Mixer,2,366.35,732.7,UPI,2022-10-19
T00209,C1894,30,Female,UK,Books,NLP with Transformers,4,1378.62,5514.48,Credit Card,2023-04-20
T00210,C1666,46,Male,Canada,Electronics,Smartphone,2,212.55,425.1,Credit Card,2023-10-08
T00211,C1061,18,Other,Australia,Books,AI Basics,2,1457.08,2914.16,Net Banking,2022-10-29
T00212,C1108,44,Male,Australia,Electronics,Smartwatch,1,523.53,523.53,UPI,2023-11-30
T00213,C1257,40,Other,UK,Clothing,Jacket,2,1269.88,2539.76,UPI,2024-01-09
T00214,C1846,40,Male,India,Clothing,Jacket,1,1287.28,1287.28,Debit Card,2022-07-21
T00215,C1358,28,Other,India,Books,Deep Learning,4,1392.96,5571.84,Cash,2023-07-17
T00216,C1074,24,Female,India,Electronics,Smartphone,4,461.7,1846.8,Net Banking,2023-03-26
T00217,C1699,52,Female,Australia,Books,NLP with Transformers,1,886.63,886.63,UPI,2023-10-03
T00218,C1104,60,Female,Germany,Home,Vacuum Cleaner,4,190.7,762.8,UPI,2024-03-06
T00219,C1954,62,Other,USA,Home,Vacuum Cleaner,5,673.5,3367.5,Cash,2023-04-04
T00220,C1736,63,Other,USA,Books,Deep Learning,3,330.49,991.47,Credit Card,2023-12-09
T00221,C1937,52,Male,Germany,Electronics,Laptop,3,725.04,2175.12,Net Banking,2023-02-27
T00222,C1312,37,Female,UK,Books,Data Science 101,2,704.52,1409.04,Credit Card,2022-04-10
T00223,C1533,28,Male,Germany,Home,Desk Lamp,5,1063.42,5317.1,UPI,2023-09-05
T00224,C1759,51,Female,UK,Electronics,Headphones,1,1289.04,1289.04,Debit Card,2022-11-08
T00225,C1008,33,Male,Germany,Electronics,Smartphone,5,1493.75,7468.75,Net Banking,2024-01-08
T00226,C1520,49,Female,Australia,Electronics,Laptop,3,144.06,432.18,Net Banking,2023-01-24
T00227,C1677,61,Male,Germany,Books,AI Basics,2,346.13,692.26,Net Banking,2024-03-17
T00228,C1622,20,Female,USA,Books,Data Science 101,5,737.4,3687.0,Net Banking,2022-03-20
T00229,C1754,48,Female,Germany,Clothing,T-Shirt,2,1034.56,2069.12,UPI,2022-07-31
T00230,C1110,59,Other,UK,Books,NLP with Transformers,2,782.15,1564.3,Net Banking,2022-01-15
T00231,C1401,46,Male,India,Electronics,Laptop,2,44.73,89.46,Credit Card,2022-05-15
T00232,C1615,22,Other,Canada,Home,Vacuum Cleaner,3,1160.82,3482.46,UPI,2024-03-19
T00233,C1073,61,Male,USA,Electronics,Smartwatch,4,1377.64,5510.56,Cash,2022-06-21
T00234,C1798,19,Other,Canada,Books,NLP with Transformers,3,52.19,156.57,Credit Card,2023-03-19
T00235,C1901,65,Other,Australia,Books,NLP with Transformers,4,668.67,2674.68,Credit Card,2023-06-07
T00236,C1588,26,Female,USA,Books,Data Science 101,2,620.16,1240.32,Debit Card,2023-01-23
T00237,C1749,62,Female,Australia,Clothing,Jeans,4,394.56,1578.24,Cash,2024-05-30
T00238,C1307,42,Other,USA,Clothing,T-Shirt,3,1016.05,3048.15,UPI,2023-04-10
T00239,C1932,28,Other,UK,Books,NLP with Transformers,2,652.67,1305.34,Cash,2024-02-07
T00240,C1373,50,Male,USA,Home,Mixer,5,1183.85,5919.25,Net Banking,2022-05-07
T00241,C1685,64,Female,India,Home,Mixer,5,990.54,4952.7,UPI,2022-05-27
T00242,C1371,39,Male,Germany,Electronics,Laptop,2,756.09,1512.18,UPI,2022-04-07
T00243,C1242,53,Other,India,Clothing,Jacket,1,625.15,625.15,Credit Card,2022-04-14
T00244,C1400,18,Male,Canada,Electronics,Smartwatch,4,582.51,2330.04,UPI,2023-08-16
T00245,C1558,21,Male,Australia,Books,Data Science 101,1,444.39,444.39,Cash,2023-03-29
T00246,C1036,44,Other,Australia,Electronics,Smartwatch,1,1396.65,1396.65,UPI,2022-07-15
T00247,C1655,48,Male,Canada,Clothing,T-Shirt,2,882.42,1764.84,Credit Card,2023-08-26
T00248,C1832,37,Other,Canada,Clothing,Jeans,1,1191.31,1191.31,Credit Card,2022-09-25
T00249,C1795,29,Male,USA,Home,Mixer,3,114.57,343.71,UPI,2024-03-01
T00250,C1502,61,Other,Canada,Books,AI Basics,2,1319.05,2638.1,UPI,2022-01-20
T00251,C1061,62,Male,Germany,Electronics,Smartphone,4,1311.69,5246.76,UPI,2023-06-25
T00252,C1210,63,Other,USA,Home,Vacuum Cleaner,2,1107.64,2215.28,UPI,2023-12-27
T00253,C1411,57,Female,Australia,Clothing,Jacket,4,1299.59,5198.36,UPI,2022-09-14
T00254,C1618,35,Male,Canada,Books,Deep Learning,5,508.9,2544.5,UPI,2023-04-24
T00255,C1554,59,Other,Canada,Home,Mixer,5,1075.57,5377.85,Credit Card,2023-09-02
T00256,C1108,63,Male,Germany,Clothing,Jeans,2,679.33,1358.66,Cash,2023-10-24
T00257,C1680,24,Female,Australia,Books,Deep Learning,3,1174.63,3523.89,Debit Card,2024-04-26
T00258,C1315,34,Male,Canada,Electronics,Smartphone,1,113.14,113.14,Cash,2023-03-15
T00259,C1784,52,Other,Germany,Home,Mixer,2,1448.61,2897.22,Net Banking,2022-07-09
T00260,C1963,43,Other,UK,Books,AI Basics,4,1432.19,5728.76,UPI,2023-08-06
T00261,C1312,24,Male,India,Home,Desk Lamp,5,534.08,2670.4,Cash,2023-09-02
T00262,C1317,47,Other,Australia,Home,Mixer,3,795.09,2385.27,Net Banking,2024-04-10
T00263,C1769,28,Female,India,Books,Data Science 101,2,393.75,787.5,Net Banking,2023-04-17
T00264,C1183,61,Other,Canada,Electronics,Headphones,5,750.32,3751.6,Debit Card,2023-04-01
T00265,C1702,58,Female,Canada,Electronics,Smartwatch,2,574.31,1148.62,Net Banking,2023-10-23
T00266,C1473,61,Male,UK,Electronics,Headphones,5,525.84,2629.2,Debit Card,2024-02-24
T00267,C1133,63,Other,Canada,Electronics,Smartphone,1,957.99,957.99,Credit Card,2023-11-17
T00268,C1736,19,Female,USA,Electronics,Headphones,1,865.62,865.62,UPI,2022-01-16
T00269,C1498,46,Other,USA,Electronics,Laptop,4,272.17,1088.68,Debit Card,2023-02-25
T00270,C1661,30,Other,Germany,Home,Office Chair,1,511.84,511.84,Net Banking,2022-05-10
T00271,C1160,61,Female,USA,Electronics,Smartwatch,5,1302.32,6511.6,Net Banking,2024-02-23
T00272,C1768,51,Other,India,Electronics,Smartwatch,2,873.6,1747.2,Net Banking,2024-03-06
T00273,C1399,37,Female,USA,Books,Deep Learning,4,12.61,50.44,UPI,2023-01-18
T00274,C1501,61,Female,UK,Electronics,Smartphone,5,1200.37,6001.85,UPI,2022-02-21
T00275,C1357,53,Male,Germany,Clothing,Sneakers,1,172.06,172.06,UPI,2023-03-05
T00276,C1799,19,Male,Canada,Clothing,Sneakers,5,912.89,4564.45,Net Banking,2023-08-22
T00277,C1659,37,Other,India,Home,Desk Lamp,3,1473.89,4421.67,Net Banking,2022-10-07
